freq_rad_s,mag_linear,mag_dB,phase_deg_unwrapped,phase_deg_plot,residual_out_std
0.01,0.5869979664793697,-4.62726806528002,-0.17232065346842715,-0.17232065346842715,0.00028745771055223247
0.05,0.5870606612031812,-4.626340412367988,-0.8729929469977051,-0.8729929469977051,0.00028472920927485906
0.1,0.5872088431131479,-4.624148255084793,-1.7465437333444447,-1.7465437333444447,0.00028602198369660433
0.15,0.5875277641214403,-4.619432112364318,-2.617289803866592,-2.617289803866592,0.0002942061600079832
0.2,0.587969525509278,-4.612903656917242,-3.494113101997393,-3.494113101997393,0.0002853012521704127
0.25,0.5885156597125503,-4.604839531983892,-4.368637480771962,-4.368637480771962,0.0002767309905950045
0.3,0.5891536394079654,-4.5954287037116,-5.245712885389811,-5.245712885389811,0.00028195201141683875
0.4,0.590864615232394,-4.570240351682864,-7.011457978474366,-7.011457978474366,0.00028498277066929463
0.5,0.5930156565242066,-4.538676808859478,-8.7864630906441,-8.7864630906441,0.0002893411686548874
0.6,0.5956843718221358,-4.499675875157287,-10.584380244725072,-10.584380244725072,0.0002841835073039035
0.7,0.5988640758517351,-4.453434764440344,-12.39979132258834,-12.39979132258834,0.000292215903566648
0.8,0.6024898326411195,-4.401005553156991,-14.239063302330974,-14.239063302330974,0.00029120998667640015
0.9,0.606620518243961,-4.341658085273759,-16.106976398448307,-16.106976398448307,0.0002951705722665687
1.0,0.6113039472183011,-4.27485599882594,-18.001802485554776,-18.001802485554776,0.00028123011475868545
1.1,0.6164284756059395,-4.202346149465457,-19.935901878232627,-19.935901878232627,0.0002862212012413063
1.2,0.6220419717696672,-4.123606213161597,-21.903271509213607,-21.903271509213607,0.0002656898684025712
1.3,0.6284084476409034,-4.035159708186483,-23.93406687154895,-23.93406687154895,0.000294769924615059
1.4,0.6351036490534039,-3.9431078394019545,-25.999958604792873,-25.999958604792873,0.0002942529665577229
1.5,0.6422554946704611,-3.8458434307658913,-28.12924295681482,-28.12924295681482,0.00026870987064773105
1.6,0.6500236183610603,-3.7414172629112015,-30.314764031878838,-30.314764031878838,0.00029140699392622075
1.7,0.6582194383610175,-3.632585927667518,-32.56501676806567,-32.56501676806567,0.0002768747386247724
1.8,0.6669268192564974,-3.518436357252617,-34.88615969426376,-34.88615969426376,0.00028754573464639645
1.9,0.6760069683437744,-3.4009765457338084,-37.29258395164795,-37.29258395164795,0.0002963682948717931
2.0,0.6854789288540634,-3.280117811597472,-39.77531847078581,-39.77531847078581,0.0002876441239854486
2.5,0.73638022258942,-2.657957682437675,-53.716291645427724,-53.716291645427724,0.0002895144133540519
3.0,0.7801108869529783,-2.1568732239080886,-70.61266619467717,-70.61266619467717,0.00028610985680111676
3.5,0.7881281063346418,-2.0680636869520823,-90.34020621168044,-90.34020621168044,0.0002953327312495941
4.0,0.7368283186362945,-2.652673823674281,-111.11754006367462,-111.11754006367462,0.0002886751576007729
4.5,0.6390887318594861,-3.888776793588045,-130.2552035943191,-130.2552035943191,0.0002842923355087058
5.0,0.5307708565716748,-5.501858625631243,-146.21999633439177,-146.21999633439177,0.00028480610653739145
6.0,0.35911123574462644,-8.895420132201199,-169.44577446431776,-169.44577446431776,0.0002824591823440205
7.0,0.2535207763295977,-11.919728878442196,-185.43846917294778,-185.43846917294778,0.00029102148220286073
8.0,0.18855866069445607,-14.491070304103271,-197.73327224648887,-197.73327224648887,0.0002893100293706594
9.0,0.1464452819914646,-16.686492307312847,-208.0099787528527,-208.0099787528527,0.0002902486082567558
10.0,0.11781571250169702,-18.57593571937701,-217.08916669211544,-217.08916669211544,0.00030304042505189453
